"Abandoned Cart","Abandoned Cart"
"General","General"
"Enabled","Enabled"
"Email Sender","Email Sender"
"First reminder","First reminder"
"Scheduled","Scheduled"
"Delay period","Delay period"
"Email template","Email template"
"Second reminder","Second reminder"
"Third reminder","Third reminder"
"Utm Parameters","Utm Parameters"
"Source","Source"
"Medium","Medium"
"Term","Term"
"Campaign","Campaign"
"Delay in hours to send email after customer's last activity","Delay in hours to send email after customer's last activity"
"Abandoned cart","Abandoned cart"
"Email Bcc","Email Bcc"
"Test Mode","Test Mode"
"Test mode email","Test mode email"
"Mail limit","Mail limit"
"Max number email to send at once. Can be used in test mode or production.","Max number email to send at once. Can be used in test mode or production."
"Abandoned cart first reminder","Abandoned cart first reminder"
"Abandoned cart second reminder","Abandoned cart second reminder"
"Abandoned cart third reminder","Abandoned cart third reminder"
