"Abandoned Cart","Panier Abandonné"
"General","General"
"Enabled","Activé"
"Email Sender","Expéditeur"
"First reminder","Premier rappel"
"Scheduled","Planifié"
"Delay period","Période"
"Email template","Gabarit de mail"
"Second reminder","Second rappel"
"Third reminder","Troisième rappel"
"Utm Parameters","Paramètres de tracking (utm)"
"Source","Source"
"Medium","Medium"
"Term","Term"
"Campaign","Campaign"
"Delay in hours to send email after customer's last activity","Délai en heures après la dernière activité du client"
"Abandoned cart","Panier abandonné"
"Email Bcc","Email Bcc"
"Test Mode","Mode Test"
"Test mode email","Email pour le mode test"
"Mail limit","Nombre de mails"
"Max number email to send at once. Can be used in test mode or production.","Nombre maximum de mails à envoyer simultanément. Peut être utilisé en test ou en production."
"Abandoned cart first reminder","Premier mail de panier abandonné"
"Abandoned cart second reminder","Second mail de panier abandonné"
"Abandoned cart third reminder","Troisième mail de panier abandonné"
